Roland Time (days),Roland Volume (cm3),Zibara Time (days),Zibara Volume (cm3),Volk 2008 Time (days),Volk 2008 Volume (cm3),Tan Time (days),Tan Volume (cm3),Volk 2011a Time (days),Volk 2011a Volume (cm3),Volk 2011b Time (days),Volk 2011b Volume (cm3)
0,0.0023,7,0.0198,7,0.173,14,0.1022,6,0.0773,6.81,0.1071
9,0.0278,14,0.0553,9,0.217,18,0.3283,10,0.1639,10.831,0.2357
23,0.125,21,0.1536,11,0.2925,22,0.5399,13,0.2504,14.853,0.3214
26,0.1435,28,0.3229,13,0.4434,25,0.7152,17,0.3154,17.748,0.4429
33,0.1991,35,0.8938,15,0.5881,29,0.9486,19,0.4305,20.804,0.5714
37,0.2986,42,1.4411,17,0.6761,33,1.3776,21,0.5958,22.895,0.7643
40,0.3356,49,2.5394,20,0.8208,37,1.8066,24,0.9048,25.791,1.2
44,0.5694,,,25,1.0723,41,0.1022,28,1.1349,28.847,1.6
48,0.8241,,,28,1.217,,,31,1.2071,32.064,1.7143
,,,,31,1.7453,,,34,1.4155,35.925,1.9429
,,,,36,2.0786,,,38,1.7534,38.82,1.9714
,,,,,,,,41,1.969,43.003,1.9786
,,,,,,,,45,2.0987,,
,,,,,,,,48,2.0919,,
